id,valor,pais,canal,tipo_cartao,horario,data,usuario_id,fraude
1,221.53,BR,web,debito,20:56,2025-02-26,USER_1613,0
2,279.41,BR,app,debito,06:06,2025-05-04,USER_0348,0
3,189.69,BR,app,pre-pago,21:43,2025-02-25,USER_1366,0
4,526.37,BR,app,debito,12:35,2025-05-06,USER_0092,0
5,5.13,BR,loja,credito,08:12,2025-04-26,USER_1089,0
6,422.85,BR,web,debito,16:03,2025-03-13,USER_1492,0
7,181.88,BR,app,debito,10:44,2025-05-14,USER_0236,0
8,549.3,BR,loja,debito,11:50,2025-04-26,USER_0029,0
9,664.8,BR,loja,debito,14:39,2025-02-26,USER_1568,0
10,327.09,BR,web,debito,20:30,2025-03-10,USER_1727,0
11,770.59,BR,loja,debito,20:13,2025-05-16,USER_1063,0
12,830.79,BR,loja,credito,11:36,2025-04-29,USER_0101,0
13,540.09,BR,loja,credito,11:41,2025-02-27,USER_0465,0
14,320.55,BR,loja,debito,07:22,2025-02-17,USER_0981,0
15,418.92,BR,loja,credito,21:32,2025-04-07,USER_1914,0
16,519.24,BR,loja,credito,06:54,2025-03-29,USER_0990,0
17,430.97,BR,app,debito,19:59,2025-04-20,USER_0094,0
18,3498.53,CN,web,credito,23:39,2025-04-22,USER_1472,1
19,268.65,BR,loja,debito,20:24,2025-03-25,USER_0519,0
20,199.9,BR,app,credito,19:48,2025-04-12,USER_1706,0
21,764.42,BR,web,debito,13:39,2025-02-18,USER_1630,1
22,568.01,BR,app,credito,06:13,2025-02-23,USER_0958,0
23,417.75,BR,loja,credito,10:41,2025-03-10,USER_1315,0
24,503.94,BR,loja,debito,06:50,2025-03-14,USER_1342,0
25,411.01,BR,loja,debito,14:12,2025-04-14,USER_0544,0
26,2497.23,BR,web,pre-pago,4:52,2025-03-18,USER_0259,1
27,462.43,BR,app,debito,20:51,2025-04-11,USER_1540,0
28,622.06,BR,web,credito,15:32,2025-04-18,USER_1115,0
29,504.54,BR,loja,debito,18:44,2025-03-12,USER_0824,0
30,191.27,BR,loja,credito,20:58,2025-04-21,USER_0161,0
31,384.12,BR,loja,credito,08:50,2025-03-06,USER_1363,0
32,319.08,BR,loja,credito,08:04,2025-02-17,USER_0560,0
33,523.57,BR,loja,debito,17:53,2025-04-26,USER_1098,0
34,563.22,BR,app,pre-pago,21:25,2025-03-26,USER_0592,0
35,449.43,BR,loja,credito,13:26,2025-04-28,USER_1434,0
36,381.03,BR,app,debito,15:35,2025-02-24,USER_0328,0
37,501.01,BR,loja,debito,09:01,2025-03-12,USER_0877,0
38,519.31,BR,loja,credito,06:02,2025-02-25,USER_1516,0
39,238.34,BR,web,credito,07:38,2025-04-11,USER_1419,0
40,558.97,BR,loja,debito,21:20,2025-02-19,USER_1547,0
41,472.16,BR,web,debito,12:38,2025-05-07,USER_0246,0
42,414.55,BR,web,debito,12:17,2025-05-12,USER_0898,0
43,717.85,BR,app,credito,10:32,2025-03-19,USER_0790,0
44,215.56,BR,web,debito,11:32,2025-05-04,USER_0701,0
